human_uniprot	yeast_uniprot
P61758	P48363
P61218	P20435
O14929	Q12341
P46952	P47096
P36969	P38143
O95433	Q12449
Q9NYU2	P22023
P62316	Q06217
Q6J4K2	Q12424
Q9H8Y5	Q04311
Q86WR0	P40206
P26885	P32472
Q9Y3E5	P34222
O43929	P54791
Q9HC21	P53257
P55789	P27882
P17706	P25044
O95340	P08536
Q8NEB5	Q05521
Q96E52	P36163
Q6P3X3	P42842
Q9NXR8	P38806
P24666	P40347
O14874	P40530
Q53H96	P32263
Q96NY9	Q04149
P48556	P32496
Q9H7D7	P25569
Q9UHY7	P32626
Q9Y277	P04840
P39656	P33767
O00233	P40555
Q13190	Q01590
Q9BXW7	P36151
O43633	P36108
P41214	Q04600
Q9Y333	P38203
Q92989	Q08685
Q96MV8	P42836
Q9Y2D4	P22224
P48047	P09457
Q69YN2	P53255
Q96S44	P53323
Q96CP6	P43560
P61923	P53600
O43280	P35172
P60866	P38701
Q7Z6V5	P47058
Q9BTY7	P48362
Q9UHD9	P48510
Q6P5R6	P05749
P49207	P40525
P49207	P87262
Q08623	Q86ZR7
Q0GE19	Q05131
Q9UJA5	P41814
P46783	Q08745
P25398	P48589
Q96RQ1	Q04651
Q8NI37	P38797
Q9UJX6	Q12440
Q9Y3B7	P53875
Q9BVK6	P53198
Q13492	P53309
Q9H1D9	P32910
Q9UIC8	Q04081
O60869	O14467
Q5T653	P32611
Q9BQC3	P32461
Q15003	P38170
Q9Y259	P20485
Q15365	P38151
P57721	P38151
P29375	Q03214
Q6Y1H2	P40857
Q9NQT5	Q08285
Q9UK41	Q02767
Q9Y397	Q06551
P52435	P38902
Q2M3R5	Q08980
Q13573	P28004
Q86SX6	Q02784
P52655	P32773
Q9BVG4	Q08971
P15374	P35127
O14777	P40460
Q9UGP8	P14906
P52948	P49687
Q9HCE5	P25583
Q9UJU6	P15891
Q14722	Q02895
Q8WU79	P40529
Q9HAV7	P38523
Q5VWJ9	P47057
Q14457	Q02948
P23434	P39726
Q9P2X3	P25637
Q9UJ41	P54787
Q53FA7	P38230
Q16864	P39111
O75150	Q07457
Q14914	Q03102
Q5JPI9	P40516
Q9UBS8	Q04638
Q9Y2Z0	Q08446
Q9Y6H3	P53722
P36954	P27999
Q6UWP2	Q05016
O60762	P14020
Q9NVC3	P40074
Q9P003	P53173
Q9Y5U8	P53157
P50336	P40012
O15235	P53732
P46976	P47011
P18077	P41056
Q6DCA0	Q12012
Q9NZJ6	P27680
Q9H477	P25332
O14746	Q06163
Q9Y2Y1	Q04307
Q6P4F2	Q12184
Q9H871	Q12508
Q9Y5N5	Q03920
Q9H967	Q12510
Q8N5I4	Q08651
Q9UDX3	P33324
Q9UDX3	P24280
O76054	P33324
O76054	P24280
Q9NZ01	Q99190
Q9HD23	Q02783
Q49AN0	P05066
Q9H300	P53259
Q15526	P53266
P0DPB6	P28000
Q8TBK2	Q12504
P14314	Q04924
P00813	P53909
Q9Y3A2	P34247
Q99471	Q04493
Q9NS91	P10862
Q9UJ68	P40029
P62875	P22139
P61266	P39926
Q15363	P32803
Q8WWH5	P48567
Q8IWW8	P10127
P53990	P53843
O75717	Q01454
Q9NZ52	P38817
Q92783	P38753
Q9Y3D2	P25566
Q6ZSM3	P53918
Q9NRZ5	P38226
P35610	P25628
P29972	P0CD91
O43741	P34164
Q8N4E4	Q12017
Q00765	Q12402
Q8N1B4	P39904
O60683	Q05568
P51946	P37366
Q9UM13	P53068
Q8N9T8	P42846
P52815	P53163
Q86TN4	Q12272
Q96NS1	P38191
P23528	Q03048
Q9Y3B1	P35200
Q8WUX2	P32656
P0DI81	P38334
P0DI82	P38334
P78383	Q12520
P10599	P22803
P63167	Q02647
Q9NYP7	P25358
P62318	P43321
O60931	P17261
Q9BT17	Q03151
Q9H9E3	Q06096
Q9HAV4	P52918
Q9UJA2	Q07560
Q9Y5X2	P40959
Q6IN84	P25270
Q96K17	Q02642
Q6ZP29	Q12010
Q9H3S4	P35202
Q9Y3E7	P36095
Q9BZL1	Q6Q546
Q9Y3U8	O14455
O00264	Q12091
Q9NPF5	P53201
Q2TAA2	P41734
O95801	P33313
Q9Y255	Q05776
P62857	Q3E7X9
P62857	P0C0X0
Q9BZK3	P38879
Q9H009	P38879
O95563	P53311
P78346	P38786
Q96AJ9	Q04338
Q969G6	Q03778
P32320	Q06549
Q9BWT6	P53102
P63220	Q3E754
P63220	P0C0V8
Q9H5J4	P39540
O60493	Q08826
Q86U38	P47077
Q96A65	P32855
Q15061	Q04177
Q8N543	P40032
Q96GG9	Q12395
A6NH52	P38962
Q9NYZ1	P38962
O95070	P53845
Q5BJH7	P53845
Q9Y3E0	Q03554
Q9Y2B2	P23797
Q7L5Y9	P40492
Q9BRU9	Q12339
Q99720	P32352
Q92968	P80667
Q8NBQ5	Q07530
Q9UGP5	P25615
Q96K37	P22215
Q8IVV7	P38263
Q8IVV7	P53242
P52758	P40037
O75486	P06844
Q86YN1	P53223
O43583	P47089
O43156	P36097
Q9NQY0	P25343
Q9BSH4	P53212
Q9P015	P36520
Q6IPR3	P53177
Q9NX24	P32495
Q96FZ7	Q04272
Q9NX18	Q08230
O14734	P41903
Q8N3Z3	Q05473
Q8N138	P53224
Q15642	P38822
Q9NYG5	Q12157
Q96E22	Q12063
Q86TP1	P38698
P05496	P61829
Q06055	P61829
P48201	P61829
P33552	P20486
O60645	P32844
Q9BRG1	P47142
Q9ULW3	P53743
O43513	Q08278
Q9NQT4	P53256
Q96S52	Q04080
Q96EK9	P34253
Q9BPU6	P32375
P50914	P38754
Q9Y253	Q04049
Q9BYD1	Q12487
P61970	P33331
Q96F25	P38242
O75387	Q04991
Q9ULX3	Q08444
O00623	Q04370
Q9Y399	P32902
Q5JVF3	P47130
O14662	Q08144
Q8N5U6	Q06436
O95786	P40562
P49914	P40099
Q01658	Q92317
Q9UJX2	P16522
P49789	P49775
O14530	Q04004
P98187	P21595
Q9HC24	P48558
Q9Y584	Q12328
Q8TBQ9	Q8TGJ3
Q9H446	Q03768
P21549	P43567
P60002	P36053
Q9UK45	P53905
Q96T52	P46972
Q96LU5	P28627
Q96K49	P32857
O43169	P40312
Q6FI81	P36152
Q96FZ2	Q04471
Q8WWV3	P28625
Q7L5D6	Q12125
P37802	Q08873
O95154	P42884
Q9GZR5	P40319
P14854	Q01519
Q9HBM6	Q05027
Q96DP5	P32785
Q9NY61	Q06631
Q9BYG3	P53927
P63272	P32914
Q96FK6	P53962
P62304	Q12330
Q8WYH8	Q08465
Q9BX40	P45978
P07108	P31787
P62273	P41057
Q5T6J7	Q03786
Q9NNW5	Q08924
P39210	Q06563
O76094	P38688
P52657	P32774
Q15717	P25555
P27544	P38703
P27544	P28496
Q96G23	P38703
Q96G23	P28496
O94886	Q06538
P15927	P26754
Q9NQP4	P53900
Q86TL2	Q12042
Q16635	Q06510
O15400	P32854
Q86Y82	P32854
Q15435	P36047
Q9NUW8	P38319
P62306	P54999
O15212	P52553
Q9Y3D7	P42949
Q8WXB1	P53970
Q8TB40	Q12385
Q6L8Q7	Q03210
P62851	Q3E792
Q9NXG2	P53072
P52434	P20436
P57740	P52891
P61803	P46964
G2XKQ0	Q12306
Q6QHF9	P50264
Q9H0U3	P48439
Q9BTM9	P40554
O75586	P38782
Q8NHS0	P48353
Q8IWX5	P47013
Q8IWX5	P23501
Q9BX95	P47013
Q9BX95	P23501
P00374	P07807
Q9Y4Y9	P40089
O75529	P38129
Q9Y3C4	Q03705
P61604	P38910
Q96EK6	P43577
Q86YT5	P39535
Q86YT5	P27514
Q9BZW2	P39535
Q9BZW2	P27514
Q8N584	P47031
O96008	P23644
Q9BSJ2	P38863
P30049	Q12165
O95249	P38736
Q3KRA6	P36154
Q8TCF1	P53899
Q9Y256	Q03530
P57081	Q03774
P28845	P40579
P78318	Q04372
Q86UA1	Q03776
P13994	P28320
Q9UK97	Q12347
Q6UX04	Q02770
P62891	P04650
Q8WZ82	Q99369
Q96DG6	P39721
P61009	Q12133
A6NK58	Q06005
P32780	P32776
Q9UKR5	P40030
Q9HD34	Q6Q560
P56937	Q12452
Q9NWT1	P20484
Q96FX2	Q3E840
Q6IBS0	P53250
Q99685	P28321
Q9GZS1	Q01080
Q9UHV9	P40005
P05387	P02400
Q9BUP3	P40008
Q99426	P53904
Q9BZD2	P31381
P62308	P40204
P78330	P42941
Q86V88	P40081
Q9Y296	Q03784
Q8TBB6	P06775
Q8TBB6	P25376
O43246	P06775
O43246	P25376
Q9Y3A6	Q12450
Q9Y3A6	P39704
Q9Y3B3	Q12450
Q9Y3B3	P39704
Q9GZP9	Q12743
Q9H903	Q02046
P20674	P00427
Q13685	P35184
O43913	P50874
Q5T440	P47158
Q14997	P43583
O95568	P40481
O95391	Q02775
Q14197	Q12322
Q9P1U0	P32529
P12956	P32807
O60930	Q04740
Q9Y5R8	Q03630
Q96GM5	P53628
Q6STE5	P53628
Q52LW3	P38339
O75521	Q08558
A0PJX2	Q08952
P62310	P57743
P62314	Q02260
Q5VZE5	Q02197
Q12893	Q12239
Q5JQF8	Q99181
Q9UEE9	P38326
Q9Y2V7	P53959
Q06136	P38342
Q9Y5M8	P36057
Q8N2U9	Q03687
O95147	P40479
P04180	P40345
P30039	P38765
Q9NPE3	Q6Q547
Q8IWL3	P53193
Q96EU6	Q12481
Q9H598	P47082
P52569	P32837
P30825	P32837
Q53F39	P40986
Q9UHB9	P38687
Q5J8M3	P53073
Q99816	P25604
O14561	P32463
Q24JQ0	P40107
Q9NR50	P09032
Q99633	P33411
Q96HR8	P53919
Q9Y3D6	P40515
Q15369	Q03071
Q9Y248	P40359
P14927	P00128
Q9BV38	P53877
Q9NS18	P38068
Q9NS18	P17695
Q96MV1	P47153
P62072	P87108
Q96J01	P53851
O95707	P38336
Q9BSV6	P39707
Q3MHD2	P38828
O00488	Q08004
Q14103	P53883
Q9UNW1	P35842
Q9UNW1	P00635
Q9UBU9	Q99257
Q9BZX2	Q12084
Q49B96	Q3E731
P13984	P41896
Q9Y5J7	O74700
Q8IUR0	Q03337
O75865	Q99394
Q9H1Y0	Q12380
Q9Y5K1	P23179
Q86U28	Q12425
Q96EB1	Q02884
Q14691	Q12488
O75379	P31109
O75379	P33328
P63027	P31109
P63027	P33328
Q9H1P3	P35843
Q5T280	P53336
Q9NVH6	P23180
O95214	P47111
A0A024R1R8	Q3E764
O75208	Q05779
Q86Y79	P38876
Q02127	P28272
Q9BSH5	Q04223
Q8NHR9	P07274
Q9NZM5	Q12080
Q9NUM3	Q12067
Q9BYN0	P36077
Q99614	Q12118
P05386	P05318
O14925	P32897
Q9Y5L4	P53299
O77932	P53063
Q9BRT9	Q03406
P60059	P35179
Q9UBB9	Q06411
Q9H8P0	P40526
Q8N954	Q06152
Q9HD47	P47123
P10746	P06174
O43290	Q12420
Q6ICL3	P53275
Q9UI30	P53738
Q9BPX5	P40518
Q9NWW6	P53915
P30086	Q06252
Q9P0J6	O14464
P62312	Q06406
Q6RFH5	P53136
P24539	P05626
Q96LB4	P48836
O60220	P57744
P63173	P49167
O75575	P47076
Q9BVC3	P25559
O15162	P47140
Q8NFU3	Q08742
Q15543	P11747
Q9BV23	P53750
P60602	Q02889
A4D1U4	P36090
Q9NWV4	P25654
Q96EY9	Q9URQ3
Q8N7N1	P47163
P0C5J1	P47163
O95292	Q6Q595
Q7L5L3	Q08959
Q8N9F7	Q08959
Q53S33	P39724
Q07326	Q06636
Q9Y5R4	P53944
Q9BTT4	Q06213
Q9H2W6	P36528
Q9NVD3	P38732
Q9Y5U9	Q3E834
Q9UI14	P53633
Q9UBD6	P41948
P12074	P32799
Q15388	P35180
Q5T1J5	Q03667
Q9NUD9	P38211
Q96KG9	Q12453
Q8N5M1	P22135
Q9Y3D3	Q02608
P49773	Q04344
Q96AQ8	P43557
Q96MF6	Q08058
O75347	P48606
Q96KP1	P89102
P51572	Q07451
Q9NRX2	P22353
Q9Y548	P53108
Q15185	P28707
P30044	P38013
P09661	Q08963
Q9NRP4	Q04401
Q9Y312	P32357
Q5BJF2	Q12155
O14737	Q04773
Q9BRX5	Q12146
P53803	P40422
Q9P2W1	P53187
Q9BYD3	P51998
P29084	P36145
Q9BZD4	P33895
P10606	P04037
Q8WV22	Q07913
Q9H3K6	P53082
P0CB47	Q02486
Q6GMV2	P38890
Q14894	P53110
P22234	P27616
O60499	Q03322
Q16543	P06101
Q587I9	P38166
O75947	P30902
Q6UW68	Q06089
O15431	P38865
P56589	P28795
Q86V81	Q12159
Q9Y3E2	Q3E793
Q9Y2V3	P34161
Q99643	Q04487
P09601	P32339
Q9H173	Q08199
Q14061	Q12287
Q96GA3	P34078
O95777	P47093
Q9Y289	P33413
Q5TGZ0	Q96VH5
Q7Z6J8	P47172
Q8N2H4	P41544
Q9UQ10	Q04869
Q9P1Q0	Q12071
Q92535	P46961
Q8IYF3	P40511
Q9Y3B4	P40565
P84101	Q3E7B7
P28328	P32800
Q8NEJ9	P40079
Q8WWI5	Q12412
P41236	P41818
Q96PQ5	P41818
Q8TB92	Q12122
O15155	P22804
Q7Z3E2	P50090
Q8NCX0	P40957
O95400	P38852
Q16540	P32387
Q01105	P53853
P0CG30	Q12390
Q9BVV7	P53220
Q6P3W2	P47138
Q9NWU2	P40208
Q04695	P32448
O14948	P17106
O75192	Q12462
P56277	Q3E7A9
Q9P287	Q06338
Q9H9J2	P36516
P16402	P53551
Q9NUH8	P47131
Q93088	Q12525
Q96EY4	Q08687
Q9P2W9	P41834
O60925	P46988
O60783	P10663
Q96NC0	Q12368
Q9NRG0	P40366
Q9Y244	P38293
Q15006	P47133
A0MZ66	P38272
Q9BR77	Q01649
Q9UHQ4	P35723
P19484	Q12398
Q13503	P47822
A6NGH8	P50086
Q53FT3	Q08202
O00244	P38636
Q6ZYL4	Q3E7C1
Q86WC6	P53066
Q86W74	P25631
P40855	Q07418
Q13901	P38801
P82932	P28778
Q9NZ43	P53146
P57054	Q04082
Q9NP79	Q06263
B7ZAQ6	P38799
P0CG08	P38799
P56557	Q12016
Q96CM3	Q06244
Q9NQ50	P36527
Q9NRP2	Q3E7A4
O75394	P36533
Q9BYC8	P25348
O60234	Q12156
P60983	Q12156
P61457	P38744
Q14657	Q3E833
Q969H6	P28005
Q86WW8	Q02772
O00161	Q04359
O00161	P32912
Q9P0S2	P47081
