human_uniprot	arabidopsis_uniprot
Q9UBS4	Q9LZK5
Q9BUR4	Q8H1R6
Q9H9S4	Q9FGK3
Q9NUU7	Q93ZG7
Q9H857	A0A178VR03
O95571	Q9C8L4
Q9BQ67	Q9ZUN8
Q8N6T7	Q9FE17
Q9NY64	Q93YP9
O15160	Q39216
O95260	Q9C776
Q8WUS8	O22813
Q9Y5L0	Q8GUL2
Q9P258	F4HQZ1
P31937	Q9SUC0
P26368	Q8L716
Q9Y570	Q94F26
Q6NVY1	Q6NMB0
Q14498	Q93Y25
Q02790	Q9FJL3
Q02790	Q38931
P49848	Q9MAU3
Q96LA8	Q08A71
Q9BTE3	Q501D5
Q9H221	Q9ZU35
P12270	A4GSN8
Q9UBM7	Q9LDU6
P60891	Q42583
Q9H7Z3	Q9LSH4
Q69YN2	Q84WU9
Q8NBU5	Q9T090
Q8TEM1	F4KHD8
O00189	Q9SB50
Q9Y3T9	Q9ZPV5
Q96FL8	Q9FHB6
P17735	Q9FN30
P00367	Q43314
P49448	Q43314
P08865	Q08682
P40123	O65902
Q9NVI1	F4K4R1
P25685	O49457
P25685	Q9SIL3
Q9UDY4	O49457
Q9UDY4	Q9SIL3
Q14739	Q9LDR4
P46781	Q9FLF0
P46781	Q9LXG1
Q9NUQ7	Q9STL8
Q96GM5	Q9FMT4
P21283	Q9SDS7
Q49A26	Q9LSV0
P42695	O24610
Q6YHU6	F4JFA0
Q8N371	Q8RWR1
O43447	Q9ZVJ4
Q2TBE0	Q93ZX4
Q5MNZ6	Q93VB2
Q9NTI5	B6EUB3
Q969S8	Q8LRK8
Q9NW13	Q9SJT4
Q8TAG9	Q9LXX6
Q6N075	Q6NLR2
Q6N075	Q9C5R0
Q6ZMB5	Q949Z2
Q02224	Q27IK6
Q9UNM6	Q8GYA6
Q5T280	Q6NLH7
Q8IW45	Q94AF2
P58743	Q9FY46
Q9Y4X5	Q84RR2
Q9Y3Z3	Q9FL05
Q9Y324	O82346
P55851	O81845
Q9UHW5	Q8W4C1
Q96J87	Q8LFS6
P06280	Q8VXZ7
P17050	Q8VXZ7
Q9Y2M0	Q5XVJ4
Q8IZ69	Q8L7S3
Q8N4Q0	F4I3C3
Q9UBP6	Q8GXB7
P83876	Q9FE62
Q16773	Q9CAP1
P52948	Q8LLD0
Q9UBQ0	Q9STT2
P25774	Q9FJ47
P25774	Q9FGR9
P25774	Q9FMH8
P07711	Q9FJ47
P07711	Q9FGR9
P07711	Q9FMH8
O60911	Q9FJ47
O60911	Q9FGR9
O60911	Q9FMH8
Q49AJ0	Q9SLU9
P62241	Q9FIF3
O43379	A0A1I9LSE8
P26641	O04487
Q8N5J2	Q8LE63
Q9UJZ1	Q9LVW0
Q9Y2Z4	Q9M876
Q8NBX0	Q8LGI2
O75530	Q9LT47
Q96EY1	Q8GWW8
Q86UA1	Q93ZR3
Q9UGC7	A2RVR7
Q9UNS2	Q8W575
Q8TAF3	Q93ZS6
Q9Y2X8	P35132
Q9Y2X8	Q94F47
P61006	Q9FJF1
P61006	Q9LZD4
Q92930	Q9FJF1
Q92930	Q9LZD4
P62979	P59271
Q9NVG8	Q9SVN9
Q99543	F4J6A8
Q8NAV1	Q8LB54
P62263	Q9SIH0
Q04637	Q76E23
Q92759	Q680U9
P61764	Q9C5X3
Q96P11	Q8GYE8
Q969V3	Q9M292
Q96PV6	F4IUY8
P15121	Q84TF0
P15121	Q0PGJ6
P14550	Q84TF0
P14550	Q0PGJ6
P15169	Q9M9H7
Q9BRT8	Q500W8
Q96BM9	Q8VY57
P49459	P25865
Q71DI3	P59226
P68431	P59226
Q8WV93	Q5XET7
Q96GQ5	Q84JB8
Q5C9Z4	Q67Z79
P26572	Q9XGM8
Q5H9R7	F4J5I0
Q5H9R7	F4I6B2
O75170	F4J5I0
O75170	F4I6B2
Q8N4J0	B3H6T0
P25786	O23712
Q8IZT6	A0A1P8B7Z9
P30405	Q38900
P30405	Q42406
P62937	Q38900
P62937	Q42406
Q9UGB7	O82200
Q53FA7	O65423
P49915	Q9CAD1
P84098	P49693
O95847	Q9XI74
Q9Y673	Q9SLN0
P61088	Q9FZ48
P62913	P42795
P62913	P42794
Q9Y5K1	Q9LZ03
P55036	P55034
Q15291	Q5E915
Q6PML9	Q8H1G3
Q9BZE2	Q9C5K6
P16885	Q56W08
P16885	Q944C2
Q8N3E9	Q56W08
Q8N3E9	Q944C2
Q5VW38	Q9FHX6
Q9UBX1	Q8VYS0
Q9HA77	F4IPY2
Q8TDN6	Q9C928
Q3MIT2	F4HSS8
Q9Y2Z9	F4J6I6
P51957	Q0WPH8
Q9NVX2	Q9FLX9
O75792	Q9SEZ6
Q86WR0	Q9LYE1
Q9Y3A5	Q9MAR2
Q9NRZ7	Q9SYC8
Q7L592	Q1JPN1
O94874	Q9LX73
P36404	Q9ZPX1
Q9NT62	Q0WWQ1
Q9GZN1	Q8LGE3
Q9BY44	Q9CAT3
P67870	O80507
P67870	P40228
O14775	P49177
Q9H4B0	O22145
Q7Z3J2	F4I6L0
Q5JVF3	Q8GWE6
Q4ADV7	F4K735
Q6UXN9	Q9LYK6
Q9P1Q0	F4JT76
O95544	Q56YN3
Q9Y6E2	A0A1P8BB34
Q9NVU7	Q0WVH7
P22830	O04921
Q86X76	Q94JV5
Q8TCT9	O81062
Q9ULR0	Q9LS97
O43809	Q8GXS3
Q16740	Q9FN42
Q5SRE7	Q9ZVF6
P12956	Q9FQ08
Q8WUM4	F4HXZ1
Q8IU85	Q9ZV15
Q8IU85	Q9M101
Q8IU85	Q9SJ61
Q8IU85	O49717
Q8IU85	Q42396
Q14012	Q9ZV15
Q14012	Q9M101
Q14012	Q9SJ61
Q14012	O49717
Q14012	Q42396
Q6P2M8	Q9ZV15
Q6P2M8	Q9M101
Q6P2M8	Q9SJ61
Q6P2M8	O49717
Q6P2M8	Q42396
Q16566	Q9ZV15
Q16566	Q9M101
Q16566	Q9SJ61
Q16566	O49717
Q16566	Q42396
Q5VST6	Q9SB70
Q9Y6B6	Q8VYP7
Q96JK4	F4KFX2
Q13216	Q93ZG3
P47756	Q9M9G7
Q7L5Y9	Q9M2V9
O43502	Q8GXF0
A0PJE2	Q9SZ91
Q15738	Q67ZE1
Q5JSH3	Q9FK21
Q92890	Q9SVK0
Q01081	Q9FMY5
Q86VX9	Q9SKN1
Q53EU6	Q8GWG0
Q13825	F4JML5
Q32P41	Q93YU6
P40616	P40940
Q8WU90	Q9SK74
Q7Z2K6	A0A1P8ASM6
Q64LD2	F4K0D3
P53609	O80642
P63000	P92978
Q5TGY1	B3H797
P51148	P31582
P51148	Q9SN68
P20339	P31582
P20339	Q9SN68
P62277	P59224
Q15020	F4JQ75
Q14807	Q5E913
Q9UID3	Q0WQ75
P62269	P34788
P13051	Q9LIH6
P32119	Q9C5R8
P32119	Q96291
P35557	Q42525
Q9BV57	O48707
Q9BV57	Q8W108
Q9BV57	Q8GXE2
Q00403	P48512
Q00403	Q9SS44
Q6P587	Q93ZE5
P54819	O82514
Q9BWS9	Q9M159
P31939	Q8RWT5
Q7L5Y6	P48732
Q07020	P42791
P62987	B9DHA6
P62987	Q42202
Q5I7T1	Q8L638
Q96A72	O23676
Q14181	F4HTP2
P62829	P49690
A8MTJ3	P18064
P40429	Q9SVR0
O15355	O81716
P78549	Q9SIC4
Q13237	Q9SL76
Q7Z3C6	Q8RUS5
Q96H20	Q5M759
Q06265	Q9LDM2
P04179	O81235
Q9UGM6	Q8RXE9
P11169	Q56ZZ7
P13995	O65271
P08579	Q8H1S6
P23284	Q9ASS6
Q13907	Q38929
Q15181	Q9LXC9
Q03426	P46086
Q8IZ73	Q9LU60
P07992	Q9MA98
Q8N806	C0SVJ2
Q6DHV7	Q8LPL7
Q5TEU4	O80543
Q5T2R2	Q5HZ00
Q9Y496	F4K4C5
P49720	Q9XI05
Q9NQ55	Q9ASU7
Q9H3G5	Q9M9Q6
P00480	O50039
Q6J4K2	Q9FKP1
P30050	Q9FF52
P27695	P45951
O60763	B0F9L4
Q9NRX1	Q9LTU6
Q96PM5	F4IZL5
P49585	F4JJE0
Q5TDH0	Q1EBV4
Q9Y6E7	Q94AQ6
Q13557	Q8RWL2
Q13557	P93759
Q9UQM7	Q8RWL2
Q9UQM7	P93759
O14579	O64748
Q9H9V9	Q67ZB6
Q9UGP5	Q9FNY4
Q96FX7	Q84K50
Q2TB90	Q56XE8
Q14232	A0A1P8AT59
Q14232	F4HTE0
P13716	Q9SFH9
P0C870	Q0WVR4
Q8N697	Q93Z20
Q96PB1	Q8L7C8
Q15119	Q9SBJ1
P50502	Q8VWG7
O75400	B6EUA9
O75400	F4JCC1
Q6NWY9	B6EUA9
Q6NWY9	F4JCC1
P20591	Q9ZP55
P49902	Q8RWN4
Q6NUT3	Q8L7S2
O14717	F4JWT7
P28838	Q944P7
Q9BVA0	F4KB17
P25325	O64530
Q9BY32	Q8L968
P08621	Q42404
D6R9N7	Q9FKP5
D6R9N7	Q67XW5
C9JJH3	Q9FKP5
C9JJH3	Q67XW5
Q5T1Q4	F4J890
Q7RTV0	P0DI19
Q7RTV0	Q0WMV8
P00403	A0A2P2CLF0
Q9NWU2	Q84WK5
Q9H9A5	Q93ZI7
Q96AA3	F4K836
Q96FV9	Q93VM9
O14746	Q9SPU7
Q8NCC3	Q9FZI8
Q9BU89	Q94JW0
Q9H2H8	Q9LPC7
Q9NPD3	Q9SP08
Q8WTT2	F4IDJ0
O14986	Q56YP2
Q9UBH6	Q6R8G0
P51956	Q8RX66
Q9BTZ2	Q9S9W2
Q96AT9	Q94K13
P62266	P49201
Q9UBS8	Q9LQM5
Q9GZL7	Q9LF27
Q01831	Q8W489
O15372	Q9C5Z2
P38571	Q67ZU1
O43464	Q3E6S8
P62249	Q9SK22
P62249	Q42340
P61081	Q9SDY5
Q10713	Q9ZU25
Q08623	F4JTE7
Q9H9F9	Q940Z2
Q02978	Q9C5M0
P19388	O81098
Q9Y3C6	Q9SIH1
Q8IZN3	Q9SB58
Q8IZN3	Q9FLM3
Q9Y397	Q9SB58
Q9Y397	Q9FLM3
Q02750	Q9S7U9
P36507	Q9S7U9
Q9UJA9	Q9SU82
Q9UJA9	Q9SU83
Q9Y6X5	Q9SU82
Q9Y6X5	Q9SU83
Q9GZP9	Q9ZS88
P62253	Q42540
Q8NDF8	Q84WU1
Q9Y5K8	Q9XGM1
P20042	Q41969
Q2M296	Q9SRE0
P03905	A0A2P2CLG4
P18621	P51413
O60931	P57758
Q5JPH6	Q9FEA2
Q9Y221	Q6NM52
Q92947	Q96329
Q9H2D1	Q7XA87
P33947	Q8VWI1
P33947	P35402
P24390	Q8VWI1
P24390	P35402
Q9UMS0	Q9LIG6
Q15397	Q9LRZ3
Q7Z392	F4JXM9
P63279	Q42551
Q96P50	Q9C6C3
Q9BZH6	F4IUN0
Q9HAB8	Q9LZM3
Q92508	F4IN58
Q3LIE5	Q9SB68
Q9Y3C8	Q9SXC8
P13994	Q9C609
P41223	O49553
Q4AC99	Q06402
Q4AC99	Q9M2Y8
Q96QU6	Q06402
Q96QU6	Q9M2Y8
O15541	Q8GX84
Q7L5N1	Q8W206
Q9NZD8	Q9STI8
P09661	P43333
Q9H7B2	Q9LUG5
Q04760	Q8H0V3
Q13011	Q9FHR8
Q14914	Q9C677
Q6PH85	Q9LTV9
Q9Y6Y8	Q8W5R2
P59998	F4JUL9
Q13123	O48713
Q8TCT0	Q6USK2
Q9NVH1	Q39079
P62841	Q08112
P62841	Q9FY64
Q9NS86	F4IEM5
P26373	Q9FF90
Q9NWM0	Q9SU79
Q9BSU1	Q9SD33
Q9P0Z9	Q9SJA7
P78330	O82796
Q9BXY0	F4I4Q1
Q8IZD6	Q9LHQ6
Q96S94	Q8RWV3
Q9HA64	Q9LEW8
Q7Z695	Q8L6Y8
P55010	Q9C8F1
P49770	B3H7H1
O14678	Q6NLC1
Q8N0W3	Q9LNJ9
Q9UI12	Q9LX65
O43174	A0A140JWM8
Q96C36	P54904
Q5F1R6	Q9C911
Q6P4R8	Q9LZU7
Q8IVS2	Q8RU07
Q9H7Z7	Q9FHX0
O75648	F4I824
Q96JB5	Q9FG23
Q86VN1	Q9FF81
P19404	O22769
P30041	O04005
O75419	Q9LSG6
Q16795	Q9SK66
Q9UHC1	F4JN26
Q6ZT12	F4KCC2
P78396	Q9FMH5
O14732	Q9M8S8
P32969	P49209
Q9NP59	O80905
P15374	Q8GWE1
P61599	Q8LGI8
P09525	Q9C9X3
Q8TCT7	Q4V3B8
Q9H347	Q9SII8
Q9H347	Q9SII9
Q9UMX0	Q9SII8
Q9UMX0	Q9SII9
Q16342	Q93VB4
Q9NV88	A0A1I9LM22
Q9H871	Q9T075
Q9Y689	Q9LIK1
O75489	A0A2P2CLF6
P22061	Q64J17
Q9UG56	Q84V22
O14972	F4HYH6
Q9NVF9	O81024
P30260	Q8LGU6
Q13769	F4K4J0
Q9BZZ5	O22957
Q9BVC4	Q9LV27
Q9UBZ4	F4JNY0
Q9H6Y2	O80775
Q9Y5A9	Q9FPE7
P35520	Q43725
O14734	F4HU51
P28072	Q8LD27
Q96BY7	F8S296
P16260	F4HW79
Q16763	Q9FF66
Q8N8Q3	Q8L9R0
P20618	P42742
Q13416	Q38899
Q8TEA1	Q84MA1
Q9BQ70	O80734
Q01085	Q9LQI9
Q8IWA5	Q94AN2
Q9H1K1	O49627
O15258	O48670
P62244	P42798
Q96GC9	Q5XF36
O94903	Q944L8
P28070	Q7DLR9
Q53GQ0	Q8L9C4
O75794	Q9M0V1
Q5VZE5	F4IRD3
O14776	Q9LT25
Q9NRN9	Q84TF1
O00303	O04202
Q9NV96	Q9SLK2
Q9H000	Q6IDS6
Q9H000	E0X9N4
Q9UHC7	Q6IDS6
Q9UHC7	E0X9N4
P06132	O22886
Q9HBH5	F4KCF2
Q13530	Q494Q0
Q9BY50	Q9SSR2
Q9Y294	Q9LS09
Q6UWJ1	Q9ZUN3
Q9NP72	O23657
Q6PKG0	Q940X9
Q9Y266	Q9LV09
O14530	O64628
Q9H1Z4	Q0V845
Q9BRX9	Q94AH2
Q8IWU4	Q9LXS1
Q9H490	F4I1Z0
Q9UHG3	P57681
Q9NR63	Q9FH76
Q9NR20	Q9XEE4
Q53HC9	Q8RWD8
O43660	Q39190
Q9BSU3	Q9FKI4
O43818	Q3MKM6
Q14CX7	F4KEY9
Q15042	Q8RWW8
P23919	Q0WW55
Q8TCT6	Q93Z32
Q9NUD9	Q6NKT6
P55209	Q9SZI2
Q9Y2A7	Q5S2C4
P52298	Q9XFD1
Q9NZJ6	O49354
Q9UJX3	Q8VY89
O15527	Q9FNY7
Q8N8V2	F4KG14
Q9UHQ9	Q9ZNT1
P04798	Q9LNJ4
P04798	Q9LVD6
P05177	Q9LNJ4
P05177	Q9LVD6
Q13231	O81862
Q9NP77	A0A1P8AMK1
Q9NYA1	Q8L7L1
Q9NYA1	F2Y4A3
Q9NRA0	Q8L7L1
Q9NRA0	F2Y4A3
Q8TE04	O80765
Q8WU67	Q9LTX5
Q99633	Q9SA55
Q9NV70	Q9SX85
A5PLN9	O82263
Q9UKD2	Q94AK8
Q9NV31	Q683D4
Q9H4K7	Q8L7L0
P62805	P59259
P15531	Q8LAH8
Q6P4Q7	Q9LTD8
Q6P4Q7	Q4V3C7
Q8NE01	Q9LTD8
Q8NE01	Q4V3C7
O95067	Q39070
Q9NZC7	A2RVM0
Q9BW85	A8MR03
Q99615	Q9LYW9
Q9P0I2	Q9SU27
Q92621	F4KBW6
P49768	Q9SIK7
P62256	P42749
P62081	Q9C514
Q7L5A8	O48916
P62877	Q940X7
Q9NZ01	Q9M2U2
Q70Z53	F4JJC3
O75880	Q8VYP0
P62487	P38421
Q9Y3D8	Q9FJI1
Q96HH6	Q0WP96
Q9NRH2	Q9STV4
A6NDG6	Q8GWU0
P56180	Q9LT75
Q969T4	Q9LJD7
Q9HC21	Q9FI73
Q330K2	Q9SI77
Q9Y394	Q8L7U0
P83436	Q9FGN0
Q5T7W7	Q94AC1
P48553	F4K0C4
Q96T88	Q8VYZ0
P54727	Q84L31
P24557	B9DFU2
P55769	Q8LCC7
Q96A46	Q8L6Z2
O00217	Q9FX83
O00217	Q42599
Q8N5S9	Q93V58
Q96FM1	Q9FX73
Q96T76	Q0WVF8
Q9BRR8	Q8GXN9
Q16836	Q9LDF5
Q8NEW0	Q9SI03
Q9Y6N1	Q8GWR0
Q15800	Q9ZW22
Q15800	Q8VWZ8
Q8TB61	Q6NM25
P78344	Q93ZT6
Q92979	Q9M1J8
Q9UM13	Q9ZPW2
O43290	Q9LFE0
Q15003	Q564K3
Q9UPT5	Q9LZD3
Q96CM8	F4HUK6
Q5SVZ6	F4IE28
P62280	O65569
Q8N2K1	Q9SHI7
Q8N2K1	Q9FK29
Q9ULC4	Q8L7N2
P19387	Q39211
Q4J6C6	A0A1P8ATN7
Q969K4	Q9SJ85
Q9Y606	Q9SGS1
Q15024	Q9FPI0
Q07955	Q9XFR5
Q71UI9	Q9C944
P47985	Q9LYR2
P47985	Q94JS0
Q02878	Q9C9C5
Q9Y4X0	Q9ZVJ2
Q9BVI4	F4IMH3
Q9UJA5	O80846
P56377	Q8LEZ8
P56377	O23685
Q9NVA4	F4JTN2
P53611	Q84J75
Q9H1N7	Q9LDX3
O75821	Q9FI86
Q9NUI1	Q9LTV6
Q9H6P5	O65268
O00566	Q9FJY5
Q96B26	Q9ZUI4
O75717	F4JF14
Q86W10	Q9LUC6
Q86W10	O48786
P98187	Q9LUC6
P98187	O48786
P14635	Q39071
Q13610	F4JSC0
O00762	Q9LJZ5
P28749	Q9LKZ3
Q8WWV3	Q9LK96
P0DP24	P0DH96
P0DP24	P0DH95
P0DP23	P0DH96
P0DP23	P0DH95
P0DP25	P0DH96
P0DP25	P0DH95
Q96EP5	Q8W569
Q96EP5	F4JFN7
Q02543	Q8L7K0
Q9BYV7	Q8VY26
Q15813	Q8GRL7
O60573	Q9FK59
Q16560	Q8VY74
Q96LW4	F4KHM4
P05093	Q9STI1
P54920	Q9SPE6
Q9UNX3	P51414
P61254	P51414
O43272	P92983
P55061	Q9LD45
Q08357	Q38954
Q9Y485	F4IJ68
Q7L266	P50287
Q9UHA3	O22165
Q9H8Y5	Q9LPC8
O75396	Q94AU2
Q3SXM5	Q9FYL6
Q9NWZ3	O49840
P16104	O81826
P16104	Q9C681
Q8IUE6	O81826
Q8IUE6	Q9C681
P57058	Q9SEZ7
Q96K49	Q8GYD0
Q9BW19	Q8W0Y9
Q5TAP6	F4JHI1
P62750	Q9M3C3
Q96FW1	Q8LG98
Q8IU60	Q8GW31
Q9Y3B8	Q9ZVE0
Q9UIC8	Q8VY08
Q13257	Q9LU93
O60318	F4JAU2
Q9BYJ1	Q9LUW0
Q9BYJ1	Q9FNX8
P09917	Q9LUW0
P09917	Q9FNX8
P30085	O04905
Q01105	Q9CA59
Q9UNW9	Q9LZ82
O43772	Q93XM7
Q96S44	Q94K14
Q12887	O64886
Q9NX01	Q6NMD4
P34913	O81299
Q5SGD2	Q4PSE8
Q86UK7	Q9M1Q0
P55735	O64740
P32321	Q1PEH3
P53680	Q84WL9
Q96LT9	Q8RWV8
O43148	Q9LHQ7
Q9UJK0	F4KFG2
P29972	P43286
Q9Y2Z0	Q9SUT5
Q9NW15	A0MFS9
Q99741	Q8W032
P82094	Q0WVL7
Q9UPQ8	F4J4C8
P02730	Q3E954
Q14186	Q9FNY2
O95630	Q5PNU3
O95630	Q8VYB5
Q96FJ0	Q5PNU3
Q96FJ0	Q8VYB5
P62910	P49211
Q9Y5Q9	Q8GUP0
P32754	P93836
O43929	Q6EWX1
Q9BUK6	O23167
Q9ULM6	Q8W0Z9
Q9Y4P1	Q9M1Y0
Q9Y4P1	Q8S929
O43708	Q9ZVQ3
O75600	Q8GW43
Q13190	Q9LK09
O95232	P94088
Q9BPX3	F4K790
Q8N5U6	Q9LSE3
P10632	P48421
P54687	Q9FYA6
Q9HDC9	Q9C586
Q86V24	Q9SZG0
Q86SQ9	Q8S2T1
O43617	F4K1U5
Q969X6	Q8RXU6
Q8WTW3	Q9FFF3
Q6NXT6	F4HVJ3
P49961	Q9XI62
Q6ZWL3	O23365
Q7L5N7	Q8S8S2
Q9Y5T5	Q8W4N3
P24863	Q9FJK7
O75478	Q9ATB4
Q8WVE0	Q93Z55
Q7Z7B1	B3H6K1
Q9H3H1	Q9ZUX7
Q92994	Q0WVQ3
P47813	Q9SJB9
Q9BV86	Q5PP70
Q9Y587	O82201
O43424	Q9SW97
O43424	Q8GXJ4
O43424	Q9C8E7
Q13002	Q9SW97
Q13002	Q8GXJ4
Q13002	Q9C8E7
P48058	Q9SW97
P48058	Q8GXJ4
P48058	Q9C8E7
Q9UPY8	Q9FJJ5
P51809	Q9FMR5
P42357	Q9SS45
P14678	Q9FI15
P14678	Q9SUN5
P63162	Q9FI15
P63162	Q9SUN5
Q6ZWT7	F4IDU4
Q7L211	Q8RXP6
Q9BQC3	Q9M1A5
P61086	Q9FI61
Q8IV04	Q8LAF3
Q8IV04	O81347
Q9BXI6	Q8LAF3
Q9BXI6	O81347
Q9BTE0	Q8S8E7
P62316	Q8RUH0
Q9HAV4	Q0WP44
Q9NRG7	Q9SJU9
Q5BJD5	O23619
Q14677	Q8VY07
Q8IX12	F4IS91
Q15006	Q9CAU9
O60287	F4IBR2
Q6AI08	A0A1P8B4P1
Q10469	Q9FT88
Q5VVQ6	Q9LPT6
Q495N2	Q9SVG0
Q5VZY2	Q8LFD1
Q5VZY2	Q9XI60
Q8NEB5	Q8LFD1
Q8NEB5	Q9XI60
Q9GZV4	Q9XI91
P17707	Q9LSU6
Q96DH6	Q8W034
O75354	Q9SPM5
Q8N6M0	Q9LYC7
Q13630	Q9LMU0
O60725	Q93W54
Q9H0P0	F4ITW1
Q96CD2	Q9SWE5
A6NJ78	Q9LEU9
P01008	Q9S7T8
P63208	Q9FHW7
Q9UBV2	Q9C6B6
Q9UBV2	Q9LM25
Q5TEA6	Q9C6B6
Q5TEA6	Q9LM25
Q8N8R3	Q9CA93
Q05D32	F4KHG9
P13010	Q9FQ09
Q9H8M7	Q8VYV0
Q53HI1	Q9SKL4
P27824	Q38798
P27824	P29402
Q9GZU7	Q9LYI7
P49721	O23714
P78383	Q9M9S6
P00441	Q9FK60
O43172	O22212
Q9H0C8	Q9LMT1
Q9NUP7	F4JG68
Q9BWU0	Q0WW94
Q9NUL7	Q56X76
P36542	Q96250
Q8TED0	O82266
Q96K12	B9TSP7
P27449	P59228
Q05586	Q9SDQ4
O95433	Q9LHL7
P18754	Q9FN03
O95149	Q93ZD6
Q9Y3A0	Q9ZPR0
Q13868	Q9ZVT7
O43264	O48626
P16152	Q501A2
Q92820	Q9SYL6
Q9UBU8	Q94C32
Q9UBE0	P0DI12
Q9UBE0	P0DI13
Q9HD42	Q9SSM4
Q9H1X3	Q8GUN6
O15315	Q9SK02
Q9NQQ7	Q8H184
Q15050	Q9SH88
Q9NW38	B9DHA4
Q96JI7	F4JW20
Q6VN20	F4HYD7
Q8TBZ3	F4IQ10
Q15329	Q9FV70
Q15329	Q9FV71
Q16254	Q9FV70
Q16254	Q9FV71
O00716	Q9FNY0
Q676U5	Q6NNP0
P08397	Q43316
Q8NHV4	B3H5K9
Q96T66	F4K687
P49756	Q8VY15
Q9BTV6	Q9FM51
Q9HC07	Q93Y38
Q9BZK3	Q9LHG9
Q9BZK3	Q94JX9
Q9H009	Q9LHG9
Q9H009	Q94JX9
Q9Y2U5	Q9M0T3
Q8IWA0	Q9LIM7
Q6Y1H2	Q8VZB2
P60866	P49200
Q13795	Q38921
O75716	O04265
Q9BWT6	Q8GYD2
O60882	Q5XF51
O60882	O23507
O60882	Q9ZUJ5
P45452	Q5XF51
P45452	O23507
P45452	Q9ZUJ5
P08253	Q5XF51
P08253	O23507
P08253	Q9ZUJ5
Q9NXW2	Q9M2L3
P39019	Q9FNP8
Q9Y3D0	Q9C9G6
P48556	Q9SGW3
Q2TAA2	Q9FM04
Q9BRQ8	Q9C574
P62888	Q9C8F7
P59780	Q8VZ37
Q06136	F4JZN6
Q9GZZ1	Q9LFM3
Q86U90	F4K0E6
Q13404	Q9SVD7
P29401	Q8RWV0
Q96A05	Q39258
Q9NQE7	Q94CC6
Q7Z6V5	Q6IDB6
Q8IUR0	Q9FGU1
Q8N4T8	P33207
Q9Y3B4	Q9FMP4
Q8NHX9	Q94KI8
Q99437	Q9SLA2
Q99437	Q9SZY7
P46736	F4JC55
Q969S3	Q9ZQ18
Q4L235	F4K1G2
Q96DM3	F4J8L1
Q9BVC3	F4IU60
Q8TEA8	Q8VZ75
O75386	Q8VY21
O60427	Q3EBF7
Q70HW3	Q94AG6
Q9H3S4	F4IV16
P55081	Q9FKN6
Q9BQG2	Q94A82
P33316	Q9STG6
Q13889	Q8LF41
Q9Y2W3	Q9FE59
Q9Y2W3	O80605
Q5BKX6	Q9FE59
Q5BKX6	O80605
O43791	O22286
Q6IQ16	O22286
Q6P3X3	Q9FFI4
Q9UK41	Q9S9T7
O43824	Q0WTB4
Q3KRA9	Q9SUP1
Q99880	Q9SI96
Q99880	Q9LZ45
P62807	Q9SI96
P62807	Q9LZ45
Q93079	Q9SI96
Q93079	Q9LZ45
P23527	Q9SI96
P23527	Q9LZ45
Q16778	Q9SI96
Q16778	Q9LZ45
Q96B02	Q9FWT2
P30039	F4JHW1
O00471	X5JA13
P36954	Q6NLH0
Q9UGP8	F4JIN3
Q8IUR7	Q8RWE7
Q7Z769	F4IHS9
Q8IUQ4	Q9M2P4
Q9UM00	Q9FG04
Q7Z4H3	Q6DBH4
Q9NXR8	Q9LIQ6
Q969Y2	Q66GQ1
O14618	Q9LD47
Q05048	Q8L4J2
Q9UJX5	O65418
P08631	O22558
P08631	Q9ZQ31
P06239	O22558
P06239	Q9ZQ31
Q96EX2	Q8L610
P33240	Q9M9G6
Q96NC0	Q93W87
Q96RR4	Q9SMQ4
P36969	Q9SZ54
Q9UIJ5	Q94C49
Q9UIJ5	Q5M757
Q5W0Z9	Q94C49
Q5W0Z9	Q5M757
P24534	P48006
Q9NP61	O82171
P08708	Q9SJ36
Q96K17	Q9SMW7
Q8N3L3	F4KAG0
Q969X5	A0A1P8AX25
Q9NRG4	Q7XJS0
O95453	Q9LG26
Q9Y305	Q6AWX1
Q9Y4R8	F4JF17
O60683	Q9SYU4
Q53EL6	Q94BR1
P47755	O82631
Q7RTT9	Q8VXY7
P18405	Q38944
Q6UWP7	Q9LHN4
Q9Y5S9	F4I9J7
Q15814	Q9SMR2
Q96F25	Q84R09
Q99518	Q93Y23
Q99518	Q9SXE1
Q99518	Q94K43
Q99518	Q9FWW3
O60774	Q93Y23
O60774	Q9SXE1
O60774	Q94K43
O60774	Q9FWW3
P49326	Q93Y23
P49326	Q9SXE1
P49326	Q94K43
P49326	Q9FWW3
P31513	Q93Y23
P31513	Q9SXE1
P31513	Q94K43
P31513	Q9FWW3
Q8NHV1	F4HT21
P02794	Q9S756
P50897	Q501G7
P50897	F4JX42
Q9NYV6	Q8L643
P49247	Q9ZU38
Q9UBQ7	Q9CA90
O15498	Q9ZRD6
Q14457	Q9M367
Q9Y4Z0	F4K4E3
Q9Y312	Q9C711
Q8WV83	O49378
Q8IXL7	Q9C8M2
O15145	Q1ECJ7
Q9H981	Q9LSW2
Q9UNS1	A0A1P8B9S9
P62854	Q9LYK9
Q9C0D9	O82568
Q9C0D9	O82567
Q9Y6K0	O82568
Q9Y6K0	O82567
Q96H78	Q949U9
P61353	Q9SKX8
Q8TB40	O22975
Q13596	Q9FG38
P46778	Q9FDZ9
P46778	Q43291
Q9NNW5	Q8RXC4
Q96S52	Q8W4D7
Q86WB7	Q94AA1
Q6PGP7	F4I3Z5
Q08257	A1L4Y4
