human_uniprot	rat_uniprot
Q9GZR7	Q6VEU8
Q96BD5	F1M6K4
Q9Y219	P97607
O60353	G3V6L1
Q8TE23	Q9Z0R7
Q9BZQ8	Q9ESN0
Q9Y5E9	D4A7P5
P11142	P63018
Q9UH90	F1LXQ1
Q14241	Q63187
O60237	D3ZIC4
Q5BKX6	D4ADC6
O94991	M0R9U3
Q8IVU3	F1LPM8
Q5HYK7	D3Z8S0
Q9UG63	A0A096MIV5
P17844	Q6AYI1
Q96HA1	P52591
Q17RS7	D3ZVS5
Q9UBT7	D4A739
O75916	P49805
Q8N4P2	B2RYD6
Q01831	D4A3D8
Q96SM3	D3ZW78
P11021	P06761
Q9BTE3	B1H268
Q9P2Q2	D3ZU85
Q8IUH5	E9PTT0
P42357	P21213
Q9Y5P4	D4ACN6
Q9UPN4	D4AEL8
Q9NZV8	Q63881
Q9NZL6	A0A0G2JV91
O15195	D3Z8F1
P13797	Q63598
Q04446	A0A0G2JTB2
Q86UX7	B2GVB9
Q96M94	D3ZA50
Q96PR1	P22462
Q86XL3	Q7TP65
Q9Y5E5	F1LN21
P48506	P19468
P11387	Q9WUL0
Q9P2Y5	D3ZKE1
Q96MT1	B5DEF7
Q9Y6X2	O70260
Q06187	A0A0G2K134
Q13164	P0C865
O95251	Q810T5
Q3KR16	D4ABR1
Q6PJT7	Q7TMD5
Q7Z3E5	A1A5P5
P48066	P31647
Q9HAU4	F1M3F2
Q96T88	Q7TPK1
Q02153	P20595
Q96C24	Q8VHQ7
Q86V21	Q9JMI1
Q86V48	Q9ESV1
Q8IWZ5	Q5PQK3
Q9UGH3	Q9WTW8
O95932	F1M4T7
Q9H172	D3ZCM3
O43592	D3ZZ62
Q6PCB5	D3ZZH7
Q16348	Q63424
Q06455	A0A0G2K0G0
Q96JA1	D3ZD84
Q86WZ0	D3ZSB9
Q9H6S3	F7DLY1
O94906	A1A5S1
Q8TDW5	Q812E4
Q6UWX4	D4A700
P0C7P3	A0A096MK07
Q96RS0	P85107
Q9Y2X9	A0A0G2K3M5
Q14746	D3ZT01
Q7L622	D3ZC11
Q9BQL6	D3ZTV0
Q4KMP7	D3ZSY8
Q8WY54	Q80Z30
Q9NQW7	O54975
Q7L1I2	Q63564
P31641	P31643
Q96SI9	Q9JKU6
Q2PZI1	D4AD75
Q8WU17	M0RCM9
Q6P9A2	A1A5P1
Q9NYB5	Q9EPZ7
Q9UQC2	Q9EQH1
Q8N448	D3ZRH6
P05165	P14882
P20916	P07722
Q1KMD3	D4ABT8
Q7RTX0	Q923K1
Q9ULK2	F1M9V0
Q9BW27	Q4QQS8
P54652	P14659
Q13042	Q4V884
Q15424	O88453
Q9Y5E6	G3V8P1
Q9H4B4	Q9R011
Q9Y2J4	G3V735
Q6ZSI9	D3ZJZ8
A6NGG8	D3ZS67
Q08050	P97691
P0DMV9	P0DMW0
P0DMV9	P0DMW1
P0DMV8	P0DMW0
P0DMV8	P0DMW1
P08047	Q01714
Q5T0N5	Q2HWF0
O43524	D3ZBQ1
Q14435	Q3T1J4
P35869	P41738
O75173	Q9ESP7
Q9NVU7	Q5XIQ5
Q9NYF0	D4A3W8
P13796	A0A0G2K014
P53671	P53670
P78316	A0A0G2K0Z9
Q9NQI0	Q64060
Q8N0Z3	Q5RKG1
Q13492	O55012
P41743	F1M7Y5
Q5GFL6	D4A0J4
Q9UNN5	Q924K2
P54136	P40329
Q9NY59	O35049
Q92611	D3ZJE0
Q8TAT6	Q9ES54
Q9BSC4	Q66H99
Q15582	D4A8G5
Q6ZUT3	F1M1Y3
Q86SR1	Q925R7
Q9HB63	A0A0G2JTN7
Q9NX78	F1M7C0
O15484	Q8R4C0
Q1XH10	F1LXY5
Q9NSA2	D3ZYK3
P42566	E9PSY8
P30531	P23978
Q9NW15	D3ZF54
Q9UQQ1	O54697
O94923	D3ZIK0
O75326	D3ZQP6
O15062	D3ZFS3
Q9H501	Q76MT4
A1L4K1	D4ADN6
O43252	A0A0G2K0L0
Q9NV66	B5DF48
Q5U651	B5DF05
P42680	A0A0G2KA94
Q99759	B5DF98
Q96PX1	M0R5D6
Q08881	D4A7W7
Q9P2H0	D3ZT87
Q70CQ1	D3ZJ49
Q6ZU35	D4A5F4
O75626	A0A096MJU6
Q70EL2	A0A0G2K4S7
Q2TAL8	A0A0G2JX16
O60476	D3ZR49
Q96B97	Q925Q9
Q8WVM8	Q62991
O14815	O35920
P49959	Q9JIM0
Q12931	Q5XHZ0
Q02447	A0A0G2K5M1
Q96M32	A0A0G2JZ71
Q13433	Q4V887
Q92786	D3ZU00
Q9NZU1	D4AC39
P10244	D3ZLC6
Q9Y2U5	F1M9D0
P35612	Q05764
Q99797	Q01992
Q8IYK4	D3Z9Z7
Q9H1K0	D3ZL11
Q9NQ79	A0A096MJG4
Q008S8	A0A0G2JVR2
Q5VTH9	Q4V8G4
Q5UE93	F1LNJ8
Q9Y4R8	D3ZQ30
Q9Y5E7	F1M7D0
Q5TF21	D4A0A1
Q8TEQ0	D3ZMN5
Q9UN76	Q334I2
Q8WXH2	D3ZWH2
Q96RD6	P60571
Q7Z4H7	A0A0G2K4Y6
Q8WWL2	G3V870
Q8NFW9	Q7TNY7
Q9UPT5	O54922
Q8TE96	D4A474
P51116	B1H2A6
Q6UWL6	D4A934
Q9Y5E4	G3V8P0
Q496Y0	A0A0G2K884
A2A3K4	A0A0G2KB18
Q9UP38	Q08463
Q9Y5E3	G3V8N4
Q06124	P41499
Q9ULH4	Q460M5
Q6P1M0	G3V7V3
Q6ZTQ4	M0RBV0
P38606	D4A133
Q5JST6	D3ZKF6
Q9GZU2	D4AB33
P02786	Q99376
Q96MK2	D3ZX40
Q8IX07	D4A168
Q16134	Q6UPE1
Q9UJC3	D3ZB48
P0C7U0	D3ZZ44
Q5SVZ6	G3V9X1
Q6ZMZ0	A0A0G2K6H9
Q96ME1	D3ZU50
Q6NSJ5	Q3KRC6
Q13144	Q64350
Q86WN1	D4AD36
Q8N556	Q8VH46
Q92997	D4ADV8
Q8WUM9	Q9JJP0
Q16799	Q64548
Q96PV7	D3ZDR1
Q9H720	D4A4R9
Q7Z5Q5	F1LWX6
Q8N9R8	F1M3P6
O75128	D3ZUI5
O00116	Q9EQR2
P61221	D3ZD23
Q8TE68	D3ZDV2
Q9H4M7	P60669
Q96RQ3	Q5I0C3
Q9BW92	Q68FW7
Q9P2K2	D3ZQK4
P49757	Q2LC84
Q9UBT6	A0A0G2K4L7
Q13614	D3ZA31
Q9HCM4	Q5FVG2
P50443	O70531
P31645	P31652
P31639	P53792
Q8IUD2	Q811U3
P34931	P55063
Q969V6	A0A0G2JXC5
Q9UBC2	D3ZJR1
Q9NS39	P97616
Q5W0Q7	M0R4X8
Q9Y483	F1LMD5
Q9H4A4	O09175
O94955	D3ZW90
Q5T0Z8	D3ZVE5
P57679	G3V706
Q9Y227	A0A0G2JX61
Q9Y5E8	G3V8N1
Q9Y450	Q6AXM7
P52630	Q5XI26
Q9Y6X3	D3Z8G8
P48378	B2GV50
O43182	D4A5T6
Q13613	A0A0G2JUZ0
Q9Y5E2	F2Z3R8
Q05BQ5	M0R9N9
Q9BY84	D4A3W6
Q4G0U5	A0A0G2K0U0
O14682	Q6DKY8
Q8IVB4	D4A7H1
Q96Q07	Q5PQR3
Q68BL8	D4A0J7
P33908	A0A0G2JW29
Q9P242	F1M3A4
Q8NE01	D4ACK7
P59044	Q63035
O15265	D3ZKZ8
O43572	F1LNB3
Q6ISB3	B5DEI9
Q7Z2T5	Q496Z9
P53814	D4ABA5
Q8N137	B2BKY8
P43354	Q07917
Q8TEC5	Q498M5
Q8NEU8	B4F779
Q9NT22	D3ZQ65
O15234	Q8K3X0
P46059	P51574
O75175	D3ZUV9
P35558	P07379
Q9H091	D4A1E1
Q8NFI3	D4AE03
Q9ULW8	P70708
Q8NBF6	D3ZVU6
Q96RR1	D3ZA68
Q8IXI2	A0A0G2K777
P09960	P30349
Q9BU23	A1L1J9
P43403	A0A0R4J8U1
O43318	P0C8E4
Q9UIU6	D3ZAJ7
P23469	B2GV87
Q53GD3	Q6MG71
Q8IYR2	D4AEC7
Q13467	Q8CHL0
P21980	Q9WVJ6
Q5BJF6	Q6AYX5
Q9UBL3	A0A0G2JT90
Q5TA45	Q3MHC2
P29401	P50137
Q8NBH2	D3Z953
Q6PJP8	D3Z924
P43405	Q64725
P54803	G3V6H1
Q6NUQ1	D4A4T6
Q9BVQ7	D4A2B7
A5PKW4	Q9ESQ7
Q6Y2X3	Q5XIX0
P12110	F1LNH3
P43378	Q641Z2
Q9C000	D9I2F9
Q14164	D4A5E7
Q15067	P07872
O75665	D3ZUD5
Q9NUB1	D3ZZN3
Q9NRJ7	G3V987
Q9UBD5	Q4R180
Q5T7N3	D4A6X3
Q13671	P97680
Q9H267	Q63616
Q6PCB7	P97849
Q01959	P23977
Q9UQ84	A0A0G2K4W8
Q96SF7	D3ZJ07
P06681	Q6MG73
P51787	Q9Z0N7
Q9HC58	Q9EPQ0
Q96N96	D3ZWB4
Q08357	Q63488
Q9H159	Q5NUI3
O00144	Q8K4C8
Q7Z417	D3ZC82
Q14494	D4A349
Q16526	Q32Q86
Q6ZQN7	Q71MB6
Q9P2N2	F1M332
O43155	D3ZTV3
Q9HA65	B1H264
Q9BQ70	D3ZC46
Q6NUT2	M0RC58
Q99259	P18088
Q16819	Q64230
Q6ZMV9	E9PSL8
Q9BX10	D4ABV1
Q14651	A0A0G2QC04
Q6PJG6	D3ZSM9
Q5TCX8	D4A454
Q9HCG8	F1LY38
Q9Y5F2	G3V9R7
Q14190	D4AA36
Q3V5L5	D3ZRS9
Q8N1V2	B1WBL5
Q9ULC5	O88813
P61764	P61765
Q9BZL4	A0A0G2K4R1
P51170	P37091
Q96PC5	A0A0G2K2J9
Q86X55	Q4AE70
Q8IXZ2	D3ZKY5
Q8N3Y3	Q6P7A1
O75473	D4AC13
P51813	F1LVI0
Q12788	Q5U2W5
O00187	Q9JJS8
Q2TBE0	A0A0G2K305
O60285	D3ZQN8
Q05513	P09217
Q9NZ52	A0A0G2JV04
Q8N283	D3ZHR4
P13196	P13195
Q9UI40	O54701
P17812	B1WC02
Q6T4P5	Q7TMB0
O75069	D3ZE26
Q96KR4	D4AC69
Q9BTX1	Q6AXN4
Q12872	D3ZTQ1
P18054	F1LQ70
Q5GH73	Q5GH57
P29590	F1M589
O76094	D4A7R0
Q92841	A0A096MIX2
E7EW31	F1M6Z4
Q4G0Z9	Q5XI14
Q8N5V2	Q5BKC9
Q8NFY9	B1H285
Q92581	D3ZJ86
Q00839	Q6IMY8
Q8NCE2	D3ZMA2
O94952	F1M5Q6
Q07617	Q5U2X2
Q9HCN3	D3ZKI8
Q15256	O08617
O15350	D4AA88
Q96DN2	A0A0G2JXD2
Q6PCE3	D3Z955
Q8IYS2	D3ZLT7
Q08945	Q04931
Q8IUC4	D4A8N7
P10398	P14056
Q86XN7	D4A1X9
Q9H0J9	D4A3V3
P12757	D3ZWL1
P42898	D4A7E8
Q05329	Q05683
O95340	A0A0G2K950
Q96PZ0	D4ADZ9
Q9P0U4	A1A5S2
Q9UPU9	B5DF21
P52569	B5D5N9
Q8ND24	D4A3V4
P33151	F1M7E5
Q7Z4Q2	D3ZV81
Q9NRM1	D3ZIB0
Q9BZ11	F1M8J6
P13866	P53790
Q8WYA0	P83829
Q9NSD5	P31646
Q6UWJ1	D4A3Z8
Q96SB4	A0A0U1RRU0
Q96NN9	D3ZF03
Q8IWF6	D4A544
Q9HB75	D3ZZY5
Q9NZU0	B1H234
Q6H8Q1	Q6KC51
Q8TE49	D4ABZ4
P40879	Q924C9
Q9NRF2	Q62985
Q96HN2	D3ZWL6
Q9P2U8	Q9JI12
Q9P0L9	D3ZDT6
Q6AI14	P26434
Q8IVH2	A0A0G2JXI7
Q7LDG7	P0C643
P23945	P20395
P43155	Q704S8
Q8WWX8	Q9Z1F2
Q9BYC5	Q6EV76
Q66GS9	D3ZI35
Q9NSG2	Q5XI94
Q8WU76	Q5U2R9
Q695T7	Q2A865
P53350	Q62673
Q9NQA5	Q9JIP0
Q9H4W6	D4A274
P49848	Q63801
O15321	Q66HF2
Q8NE35	D4AD99
Q3MII6	B1WBS1
P34947	Q62833
Q8NFF2	A0A0G2K3S9
Q9NZ56	A0A0G2JZ27
Q8IUH4	E9PU37
Q02641	P54283
Q92945	Q99PF5
Q9Y2K1	A0A0G2K3D7
Q6P2H3	A0A0G2JUV7
Q8N3F8	D3ZQL6
Q8NCL4	D4A864
Q99661	Q62909
Q9HCI7	D4A9S3
P23786	P18886
Q8WXW3	D3ZU21
Q9P0U3	F1LVT6
Q9UH99	D3ZTT7
Q9NXL2	F1LUU6
Q8TAF3	A0A0G2KAW5
P12755	A0A0G2K628
O76031	Q5U2U0
Q13835	D3ZY51
Q8IUR6	D4A811
Q86Y01	M0RA58
Q9H992	Q5XI50
Q9H981	D3ZVT1
Q5VV41	B2GUW2
O00571	A0A0G2K719
Q71H61	D3ZGJ1
P43250	P97711
Q9UI32	P28492
Q96S59	F1LVV3
O15069	F1M6E5
Q03721	Q63734
Q6ZW49	D3ZSX6
P29350	P81718
O60447	D3ZJN9
Q86XP0	D3ZQH6
P51800	Q06393
Q92902	A0A0G2JXZ4
Q99941	Q4G097
Q96G03	F7FLB2
Q8N442	D3ZHF8
P20823	P15257
Q53GL7	D3ZZ94
O75084	D4ACM8
Q9H8L6	D4ABX6
Q86UU1	Q63312
Q8IZE3	D3ZK09
Q8WXI9	Q4V8E1
Q96AX1	Q63615
Q8IUR5	D4A2M3
Q86Y91	Q4KLL9
Q9H9P5	D4A3S7
Q9UJV9	B2RYL8
Q07837	Q64319
Q86VI1	D4AC37
Q9BXS9	D3Z9I5
Q9UI46	Q5XIL8
Q58F21	D4A7T3
Q9BZE4	Q99P77
Q6PJ61	Q4KLY2
Q8IWQ3	D3ZML2
O00459	Q63788
Q8TEJ3	M0R6D9
Q49AN0	Q923I8
Q96QE2	Q921A2
O43895	Q99MA2
Q9NYV6	B2GV13
Q14166	D4A1Q9
P19320	P29534
Q8NCW6	Q6P6V1
Q9H0E7	D4A251
Q53ET0	Q3LRZ1
Q08426	P07896
Q96PF1	F1LZP5
Q9UBU9	O88984
Q9Y2V7	Q68FP9
P22303	P37136
Q9HCQ5	D3ZQA1
P04844	P25235
Q9Y217	A0A0G2JXT6
Q8IWF2	D4A1A1
Q14114	D3ZE75
Q12778	G3V7R4
Q8NAB2	D4A7F5
Q567U6	Q5BJT7
Q9HCH3	D3ZGN2
Q8NBJ5	B1H282
P15884	Q62655
Q9NTJ5	Q9ES21
Q7Z5H3	A0A0G2JTT7
P19113	P16453
P20908	Q9JI03
Q9Y6J9	B5DF37
Q5TAQ9	Q5U2M6
Q8NHH9	F1LQ09
P49116	P55094
Q86X27	A0A0G2JTI5
Q9HC96	Q9ES66
Q08AE8	D3ZEX7
P51957	D3ZDV9
Q96DX4	A0A0G2K1G4
P09871	Q6P6T1
Q14738	F1MAA3
Q16555	P47942
Q8NB46	D4ACT4
Q6NUQ4	A1L1L2
A6NCM1	Q6AXQ7
Q8WTR4	G3V9L7
O14867	D4ACD2
Q8NBE8	D3ZLV9
O60331	Q5I6B8
Q15061	G3V920
O15296	Q8K4F2
Q15397	Q562C7
Q96T21	Q9QX72
A6NCI4	A1A5Q7
O95831	Q9JM53
Q5JVL4	D3ZD71
Q16820	P28826
Q14624	Q5EBC0
O95876	B1WC10
Q9NUT2	Q5RKI8
Q8IZF5	A0A096MKI0
P18850	G3V909
P04843	P07153
P51617	B2RYH5
Q15022	A0A0G2K2I0
P51168	P37090
Q96AC6	A0A0G2K857
Q9NW82	Q5EB92
Q8TDF6	Q8R5I4
Q9H078	Q9WTT2
Q6NWY9	F1LTJ8
Q9BXB5	F1LWM8
P05160	B1H260
P36406	P36407
Q9UNX4	D4A106
P13667	P38659
P13010	G3V817
O43439	F1M659
Q8TEU8	D3Z9K5
Q5T2S8	D3ZXG2
Q86YQ8	B5DEX3
Q12797	A0A0G2K2B5
P08240	Q3KRC3
Q66K74	P0C5W1
Q96N46	D3ZM05
Q7Z4F1	Q496Z8
Q8N7U6	D3ZTX5
P46199	F7FDM3
Q96F46	D4A740
Q9UHB9	B2RYI2
Q5FYB1	Q32KJ8
Q9H461	Q498S8
Q8NA54	Q45GW3
Q96A23	F1M0Z3
Q96IV0	Q5XI55
Q9NQ94	Q923K9
Q13131	P54645
Q8TE54	A0A1W2Q610
Q6ZRP7	D3ZP13
O75083	Q5RKI0
Q08289	Q8VGC3
O00499	O08839
P48065	P48056
O76050	A0A096MJM7
Q8NAT1	Q5NDF0
Q96GD3	A0A0G2K483
Q9NZQ3	D3ZWX4
Q6PI48	Q3KRD0
Q8NI60	Q5BJQ0
Q92839	Q8CH93
Q66K79	O54858
Q9P215	D3ZV46
Q08379	Q62839
Q32M88	D3ZY02
O75969	Q66HC6
Q9BV94	Q6AYI8
Q8IWZ8	Q68FU8
Q14194	Q62950
Q7L5Y6	F7EXD0
Q9NZI8	Q8CGX0
Q9UNA4	D4A8I8
O60942	D3ZH30
Q9UK80	B2GUX4
P49902	D3ZMY7
O94876	D3ZH14
Q9ULW0	D3ZA78
Q13409	Q62871
Q8IU81	D4AAZ8
Q92674	Q63517
Q96EB6	A0A182DWI7
Q96HB5	D3ZAB5
Q86VQ6	A0A0G2K0G3
Q14195	Q62952
O75509	D3ZF92
Q9BPU6	Q9JHU0
Q86TV6	A0A0G2JXJ6
Q96S55	Q8CG07
Q53GS7	Q4KLN4
Q7Z4T9	D3ZBC9
Q96MP5	D4AC07
Q9UH73	Q63398
O95391	Q80ZG5
Q9Y2C9	G3V695
Q8IW35	D4AC95
Q9UMQ6	Q4V8Q1
O94993	F1M453
P20393	Q63503
P28329	P32738
Q9HBE1	D3ZX15
Q13485	O70437
Q9Y4J8	D4A772
Q15326	F7FKH2
P04839	Q9ERL1
Q92819	O35776
O43390	Q566E4
Q9HAK2	D3ZT68
Q969N2	D4A604
A1L0T0	D4ACG2
P42331	D3ZGL1
Q8WX92	D4ACV0
Q9C0I3	D3ZTW6
Q96EK5	Q4G074
Q8N1M1	D4AAW7
Q9UBK8	Q498R1
P39059	A0A0G2JV12
Q9UKA2	B1WBR8
P85037	D3ZU55
Q8ND61	D4AD91
Q9Y5S1	Q9WUD2
Q14526	A0A0G2K7D6
O95741	D4ACG7
P50542	Q2M2R8
Q8WUQ7	B2GUU0
P37088	P37089
Q10472	Q10473
Q96F45	G3V7W0
Q5K4L6	D3ZJA9
Q09019	F1M3D2
P29973	Q62927
Q9NR34	D3Z979
Q13415	Q80Z32
Q8N0X7	E9PT90
Q8N392	F1LXP8
Q9NP91	Q64093
Q9Y653	Q8K3V3
Q9P2U7	Q62634
Q969P0	A0A140TAA1
Q8TC92	D3ZYM3
Q14332	Q08464
Q7Z304	F1M9P7
Q9H5Y7	D3ZP44
Q9Y6M1	D3ZWZ6
Q15124	D3ZVR9
Q59H18	Q7TQP6
O75157	D3ZDW3
Q8NDX2	Q7TSF2
Q03431	P25961
O00472	F1LSH1
Q9Y463	A0A0G2KAP6
Q6UVY6	G3V9S5
O15228	Q9ES71
Q06495	Q06496
Q13740	O35112
O43292	Q6AYM8
Q15003	D4A8M7
Q8NI77	D3ZIA5
Q15833	Q62753
O60216	Q4KLH7
Q96GE4	Q5XI03
Q02297	P43322
Q5T1A1	A0A0G2K3F3
Q96II8	D4A8M4
O75943	E9PTL1
P35354	P35355
Q9UKG4	Q5EC47
O00186	Q99PV2
Q96NJ5	F1M9S9
P49748	P45953
Q13823	Q4KLJ3
Q9UPW0	A0A0G2JWM4
P12109	D3ZUL3
Q16538	D4AAS1
Q9BQG1	P40748
Q9H0H3	Q4KLM4
O60508	A0A0G2K0C5
O60347	M0R7T9
Q9Y2J0	P47709
Q9UHI7	Q9WTW7
P78362	A0A0G2JX62
Q15572	Q6P773
Q6P2D8	A0A0G2K0N1
P06241	Q62844
Q99543	Q7TQ20
Q8N428	F1LQN1
Q8NEG7	D3ZAE3
O75152	Q0ZFS5
Q14123	Q63421
Q9Y6Q2	F1MAC6
O43310	A0A0G2JZZ3
O75604	Q5U349
Q86U44	Q4V8G6
Q92565	P83900
Q5T2T1	Q5U2Y3
P22888	P16235
Q99665	F1LRH7
Q14397	Q07071
Q9UKG9	P11466
Q9NSD9	Q68FT7
Q68DK7	D3ZBD0
P30291	Q63802
Q9Y5A9	E9PU11
Q9UJP4	D4A2K4
Q9BZB8	P0C279
O94826	Q75Q39
Q9Y6R0	A1L1I3
Q9NW13	D4A5K7
O43490	A0A0G2JWD0
Q96K78	D4AAI8
Q86SP6	Q924Y8
Q8WZ60	D4A1Z1
O15523	A0A0G2K9N3
Q6L8Q7	Q6AXQ5
Q96MU7	Q9QY02
Q9NPI1	A0A0G2JTM7
Q6UUV7	F1LVL6
Q9NPH5	Q924V1
O95870	Q6MG55
Q8TB96	Q8R4E1
Q15399	E9PTL5
Q9P0K7	Q5U312
Q8WXE1	D4A4M3
P12107	P20909
Q9BWU0	D3ZTF1
Q53R41	D3ZFR0
Q4G0A6	D3ZJJ0
Q9HAS3	Q8VIH3
O75410	A0A0G2K9K2
Q6VN20	D3Z7Z5
Q6TFL4	Q56A24
Q9UPT9	D3ZTX7
Q6UWU2	B1WBS6
Q7Z739	D3ZIY3
Q9UJX3	D3ZIT4
Q8NFG4	Q76JQ2
Q8IUC8	Q6UE39
Q9NRW7	O08700
P49418	O08838
P22736	P22829
Q7RTR2	D3ZYP9
Q7L775	F1M471
Q92667	O88884
O43189	Q6MGC9
Q6NUN9	F1LSG4
Q9NWM0	B1WBU6
A0AV96	Q66H68
O60583	D3ZGL6
P00367	P10860
Q16798	F1M5N4
Q9UQ53	B2GV39
Q8WTU2	D3ZQH3
Q8WV41	D4A3X7
O43164	Q63364
Q99650	Q65Z14
Q68DC2	P0C0T2
Q7LFX5	Q8CHI9
Q9NZN8	A0A0G2K717
Q8WXF7	Q6PST4
P08243	P49088
Q99062	D4A3R0
Q86TU7	G3V6U9
Q8NEA6	D4A314
O15060	D3ZC02
Q9NRU3	D4A1C0
Q6ZVH7	D3ZGJ2
Q7Z3E2	A0A0G2K8K1
Q96SK2	Q68FR5
Q9UBT2	F1LS72
Q9NVC6	D4ABU0
Q6IC98	F1LYJ8
O00219	Q8CH92
P23219	Q63921
Q5W0B1	D3ZAB6
Q9NWW7	B2RYC3
Q676U5	A0A0G2K9U6
O15297	B1WCA0
Q04756	Q5EBA7
O95197	Q6RJR6
Q08188	D4A5U3
P37173	P38438
P10242	A0A0G2K2A4
Q9BRC7	Q62711
Q96RR4	O88831
A2RRH5	F1M8Z5
Q8IYJ1	Q5BJS7
Q9Y2E8	Q4L208
Q9UKV5	A0A0G2K437
Q9Y625	A0A096MJY1
A6NGR9	F1M3X5
O00425	A0A0G2K0Y2
O95202	Q5XIN6
Q9NRC1	Q2IBD0
Q9H334	Q498D1
Q8N695	D3Z9E5
Q9NVH0	B2GUW4
Q9BTC8	A0A0G2JTK6
Q96FT7	Q9JHS6
Q92529	O70143
P35680	P23899
Q8NHV4	D3ZAH3
P51654	P13265
Q9H9T3	D4ACM1
O95677	F1LX86
O14678	D4A576
Q8IV77	Q64359
A8K855	D3ZZK0
Q9NY91	D3ZIS0
Q96QG7	Q5XIN4
Q5T197	D3ZE12
O15371	Q6AYK8
Q9P2S6	M0RC04
Q96N16	Q3SWS9
Q9H892	Q68FR0
Q5VTQ0	D3ZC96
P52429	A0A096UWG9
Q5T9L3	Q6P689
Q9UPZ9	Q62726
Q8WVT3	D3ZE49
Q5T6S3	F1M1Y4
P36871	P38652
Q6Q0C0	B1WBW7
Q86YF9	A0A1W2Q6C7
Q96FL9	Q6AYA4
Q96NI6	D4A1J9
P46087	D4ACW1
Q9Y2R2	D4A2D5
A0AVF1	Q5U2N8
P23975	F1LNR9
P03372	P06211
Q86VP1	Q66HA4
Q96AY3	Q5U2V1
O43548	A0A0G2K142
Q8IZ41	F1LVA5
Q9P0J1	O88483
Q96DZ5	D4A507
O75928	Q6AZ28
O43781	Q4V8A3
Q8TBZ3	A0A0G2K2B7
O00634	G3V6X3
Q9H4Q3	D3ZKY4
Q96CW9	D4A9F4
Q96RU3	Q8R511
P36915	Q6MG06
O14975	P97524
Q9H221	P58428
P54646	Q09137
P02671	P06399
Q9NRF8	Q5U2N0
Q6ZRK6	F1M0U1
Q5W041	M0R914
Q9HD45	D3ZUD8
O14531	Q62951
A1IGU5	A1IGU3
Q15723	Q5XIT5
Q5JTW2	F1LP29
P31939	O35567
Q12980	A0A0G2K0K3
Q8NHX9	D3ZTJ6
Q9UKN5	Q9QZP2
O95199	Q6P798
Q8WVR3	A0A0G2KAX2
P12931	Q9WUD9
P34925	F1LQR5
O60941	P84060
P43004	P31596
Q5JSP0	A0A0G2K2U9
Q8IYD1	A0A096MJE3
P20309	P08483
Q9NX95	F1LUC0
Q9ULV1	Q9QZH0
A2RU67	D3ZWJ9
Q9Y4X5	D3ZXL1
O60662	Q9ER30
Q86YJ7	D4A6I3
O15530	O55173
Q8N4N3	Q66HD2
Q6ZVD7	F1M4Y5
Q16281	Q9ER33
Q8NE63	Q4V793
P30825	P30823
Q9Y5R2	Q99PW6
Q2Q1W2	D3ZVM4
Q8NFJ9	D4A4U2
P24386	P37727
P57075	D3ZY64
Q13114	A0A0G2K7X2
Q9P2Y4	Q66H48
Q7L4E1	A0A0G2KAE6
Q7Z6J4	D3Z9I3
Q14159	A2VD15
Q5VZ46	F1M2N1
Q96MW5	B5DF86
Q9H2U9	Q63180
Q9H611	Q1HG60
Q9NXH9	A0A140UHW6
Q2TBF2	A0A0G2K1I1
P40238	A0A1W2Q6N1
Q96C10	D3ZD46
Q3KP66	D3ZL84
B2RC85	Q66HB5
Q96AE4	Q32PX7
Q10471	A0A0G2JU25
Q9H093	Q66HE5
Q9Y2D8	Q8CGZ2
Q49A88	D3ZBB5
Q9NR30	M0R965
Q7Z404	Q496Z4
P52739	B1WC22
P02787	P12346
Q8TBA6	Q3ZU82
Q6UUV9	Q157S1
Q16518	O70276
Q9NVH1	B1WBY5
O96013	B5DF62
Q96G46	Q3KRC5
Q9GZV3	Q9JMD7
Q8N370	D3ZDC2
Q8NHQ9	D3ZX56
O15455	F1LN63
Q13368	O88954
Q9ULP9	A0A0G2K5B0
Q96BF6	Q562B4
Q6P0N0	A0A0G2JZZ6
Q9H089	Q5BJT6
Q9H7E2	Q66HC1
Q2TB18	E9PU85
Q86VM9	Q6TQE1
Q96GW9	D4A9V7
Q9H8H2	G3V9V8
Q8TDF5	D4AAD6
Q96RS6	F7F163
P78348	P55926
Q86VR7	F1M5N2
P36894	Q78EA7
Q5TKA1	M0R885
Q92570	P51179
Q13573	D4A8G7
Q6PJG9	D4ABX8
O60721	Q9QZM6
P14780	P50282
P20794	P20793
P49023	Q66H76
Q9BVJ6	D3ZZY2
Q9BZR9	D3ZQE3
P23443	P67999
Q8IU68	M0RE13
O75159	D3ZUE4
Q8N4V2	Q9Z2I7
Q1MX18	D3ZFP7
O95453	A0A0G2K6N8
Q96LD4	D3ZA22
Q92959	Q00910
Q9Y2Z2	F1LYH3
Q14168	D3ZAA9
P51512	O35548
Q9UNQ0	Q80W57
O15270	Q3B7D2
Q8IV35	F1M344
Q9NZN4	Q4V8H8
P27037	P38444
Q9UN79	D4A8S0
P07225	P53813
Q14BN4	P0C219
A8MPP1	A0A0G2K8J3
Q68D06	Q5U311
Q8TBY0	D3ZAE2
P41182	B2GUV8
Q96EK7	D4AE88
O60563	D3ZC98
O60563	A0A0G2JXM2
Q7Z353	D4A457
Q9H7D7	F1LTR1
P50281	Q10739
Q15046	Q5XIM7
Q9BVL4	A0A0G2K1N9
P22459	P15385
P22557	Q63147
